Pattern;Category;IUnderstand-avg;IUnderstand-stddev;IUnderstand-min;IUnderstand-max;IUnderstand-avg-pr;IUnderstand-stddev-pr;IUnderstand-min-pr;IUnderstand-max-pr;IUnderstand-avg-ta;IUnderstand-stddev-ta;IUnderstand-min-ta;IUnderstand-max-ta;IsNew-avg;IsNew-stddev;IsNew-min;IsNew-max;IsNew-avg-pr;IsNew-stddev-pr;IsNew-min-pr;IsNew-max-pr;IsNew-avg-ta;IsNew-stddev-ta;IsNew-min-ta;IsNew-max-ta;AppropriateForRemoteAssessment-avg;AppropriateForRemoteAssessment-stddev;AppropriateForRemoteAssessment-min;AppropriateForRemoteAssessment-max;AppropriateForRemoteAssessment-avg-pr;AppropriateForRemoteAssessment-stddev-pr;AppropriateForRemoteAssessment-min-pr;AppropriateForRemoteAssessment-max-pr;AppropriateForRemoteAssessment-avg-ta;AppropriateForRemoteAssessment-stddev-ta;AppropriateForRemoteAssessment-min-ta;AppropriateForRemoteAssessment-max-ta;AppropriateForClassroom-avg;AppropriateForClassroom-stddev;AppropriateForClassroom-min;AppropriateForClassroom-max;AppropriateForClassroom-avg-pr;AppropriateForClassroom-stddev-pr;AppropriateForClassroom-min-pr;AppropriateForClassroom-max-pr;AppropriateForClassroom-avg-ta;AppropriateForClassroom-stddev-ta;AppropriateForClassroom-min-ta;AppropriateForClassroom-max-ta;PositiveForStudents-avg;PositiveForStudents-stddev;PositiveForStudents-min;PositiveForStudents-max;PositiveForStudents-avg-pr;PositiveForStudents-stddev-pr;PositiveForStudents-min-pr;PositiveForStudents-max-pr;PositiveForStudents-avg-ta;PositiveForStudents-stddev-ta;PositiveForStudents-min-ta;PositiveForStudents-max-ta;WouldRecommend-avg;WouldRecommend-stddev;WouldRecommend-min;WouldRecommend-max;WouldRecommend-avg-pr;WouldRecommend-stddev-pr;WouldRecommend-min-pr;WouldRecommend-max-pr;WouldRecommend-avg-ta;WouldRecommend-stddev-ta;WouldRecommend-min-ta;WouldRecommend-max-ta;Crucial-avg;Crucial-stddev;Crucial-min;Crucial-max;Crucial-avg-pr;Crucial-stddev-pr;Crucial-min-pr;Crucial-max-pr;Crucial-avg-ta;Crucial-stddev-ta;Crucial-min-ta;Crucial-max-ta;HaveUsed-avg;HaveUsed-stddev;HaveUsed-min;HaveUsed-max;HaveUsed-avg-pr;HaveUsed-stddev-pr;HaveUsed-min-pr;HaveUsed-max-pr;HaveUsed-avg-ta;HaveUsed-stddev-ta;HaveUsed-min-ta;HaveUsed-max-ta;IsAntiPattern-avg;IsAntiPattern-stddev;IsAntiPattern-min;IsAntiPattern-max;IsAntiPattern-avg-pr;IsAntiPattern-stddev-pr;IsAntiPattern-min-pr;IsAntiPattern-max-pr;IsAntiPattern-avg-ta;IsAntiPattern-stddev-ta;IsAntiPattern-min-ta;IsAntiPattern-max-ta;Category-avg;Category-stddev;Category-min;Category-max;Category-avg-pr;Category-stddev-pr;Category-min-pr;Category-max-pr;Category-avg-ta;Category-stddev-ta;Category-min-ta;Category-max-ta;
Statistical validator;Preparation;4,48;0,50;4;5;4,43;0,49;4;5;4,50;0,50;4;5;1,94;1,01;1;5;1,79;0,77;1;3;1,96;1,10;1;5;4,61;0,55;3;5;4,57;0,62;3;5;4,54;0,58;3;5;3,94;1,07;2;5;3,71;1,28;2;5;3,92;1,00;2;5;3,70;1,11;1;5;3,79;1,01;1;5;3,54;1,22;1;5;4,12;0,64;3;5;4,00;0,53;3;5;4,21;0,64;3;5;3,64;1,12;1;5;3,21;1,26;1;5;3,92;0,91;2;5;3,12;1,43;1;5;3,14;1,25;1;5;3,21;1,47;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;2,00;0,00;2;2;2,00;0,00;2;2;2,00;0,00;2;2;
Impro League;Excution;4,12;1,07;1;5;4,21;1,01;1;5;4,17;1,03;2;5;1,94;0,98;1;4;1,43;0,49;1;2;2,13;1,05;1;4;4,61;0,55;3;5;4,71;0,45;4;5;4,54;0,58;3;5;3,58;1,10;1;5;3,64;1,29;1;5;3,63;1,03;2;5;4,42;0,78;2;5;4,43;0,62;3;5;4,38;0,86;2;5;4,00;0,92;1;5;4,00;1,13;1;5;3,88;0,93;1;5;3,97;1,06;1;5;3,86;1,36;1;5;3,96;0,98;1;5;3,33;1,47;1;5;3,36;1,39;1;5;3,21;1,44;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,04;0,20;1;2;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Questions Donor;Preparation;4,55;0,50;4;5;4,50;0,50;4;5;4,58;0,49;4;5;2,67;1,47;1;5;2,71;1,44;1;5;2,58;1,47;1;5;4,06;1,04;1;5;4,21;1,08;1;5;3,96;1,14;1;5;3,97;1,11;1;5;4,14;1,12;1;5;3,88;1,20;1;5;4,18;1,03;1;5;4,21;1,08;1;5;4,13;1,13;1;5;3,55;0,99;1;5;3,71;1,10;1;5;3,46;1,04;1;5;2,42;1,07;1;5;2,57;1,12;1;5;2,38;1,07;1;4;1,36;1,01;1;5;1,57;1,12;1;4;1,42;1,11;1;5;1,06;0,24;1;2;1,07;0,26;1;2;1,08;0,28;1;2;2,00;0,00;2;2;2,00;0,00;2;2;2,00;0,00;2;2;
Continuous Testing;ConceptualDesign;4,48;0,61;3;5;4,64;0,48;4;5;4,46;0,64;3;5;2,00;1,26;1;5;1,93;1,28;1;5;1,92;1,19;1;5;4,39;0,81;2;5;4,29;0,88;2;5;4,50;0,71;3;5;4,21;0,91;2;5;4,07;0,96;2;5;4,25;0,92;2;5;3,45;1,18;1;5;3,71;1,03;1;5;3,25;1,23;1;5;3,91;0,90;2;5;3,79;1,08;2;5;3,92;0,76;2;5;3,39;1,18;1;5;3,36;1,44;1;5;3,50;1,08;1;5;2,79;1,47;1;5;2,86;1,51;1;5;2,79;1,41;1;5;1,09;0,29;1;2;1,14;0,35;1;2;1,04;0,20;1;2;1,06;0,34;1;3;1,00;0,00;1;1;1,08;0,40;1;3;
To-Do List;Communication;4,36;0,59;3;5;4,29;0,70;3;5;4,50;0,50;4;5;2,18;1,14;1;5;2,14;1,12;1;4;2,04;1,10;1;5;4,15;0,86;1;5;4,00;1,00;1;5;4,29;0,68;3;5;3,88;0,84;1;5;3,79;1,01;1;5;3,96;0,68;3;5;4,27;0,62;3;5;4,29;0,59;3;5;4,33;0,62;3;5;3,94;0,69;2;5;3,93;0,80;2;5;4,04;0,61;3;5;3,27;0,99;1;5;3,00;1,07;1;5;3,42;0,95;1;5;2,15;1,08;1;5;1,93;0,80;1;4;2,33;1,14;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Professional Multiplier;Preparation;4,64;0,48;4;5;4,57;0,49;4;5;4,75;0,43;4;5;1,85;1,31;1;5;2,00;1,41;1;5;1,58;1,11;1;5;4,30;0,90;1;5;4,14;1,06;1;5;4,50;0,71;2;5;4,06;0,95;2;5;3,93;0,88;2;5;4,08;0,95;2;5;3,73;1,02;1;5;3,64;0,89;2;5;3,79;1,04;1;5;3,97;0,87;1;5;4,00;0,76;3;5;4,04;0,89;1;5;3,42;1,26;1;5;3,07;1,39;1;5;3,67;1,11;1;5;2,88;1,57;1;5;3,00;1,69;1;5;3,08;1,47;1;5;1,03;0,17;1;2;1,00;0,00;1;1;1,04;0,20;1;2;2,00;0,00;2;2;2,00;0,00;2;2;2,00;0,00;2;2;
Timebox;Excution;4,73;0,45;4;5;4,71;0,45;4;5;4,75;0,43;4;5;1,30;0,63;1;3;1,43;0,73;1;3;1,21;0,50;1;3;4,67;0,77;1;5;4,79;0,41;4;5;4,63;0,86;1;5;3,94;1,25;1;5;3,71;1,33;1;5;4,08;1,19;1;5;2,42;0,99;1;5;2,43;1,12;1;5;2,38;0,95;1;4;4,00;0,92;1;5;4,07;0,96;2;5;4,04;0,89;1;5;3,97;1,19;1;5;3,86;1,36;2;5;4,08;1,04;1;5;4,21;1,27;1;5;4,21;1,21;1;5;4,21;1,29;1;5;1,09;0,29;1;2;1,21;0,41;1;2;1,04;0,20;1;2;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Academic Integrity Appeal;Communication;4,42;0,65;3;5;4,50;0,50;4;5;4,42;0,70;3;5;1,64;0,81;1;4;1,43;0,49;1;2;1,71;0,89;1;4;4,64;0,59;3;5;4,79;0,41;4;5;4,58;0,64;3;5;4,52;0,61;3;5;4,71;0,45;4;5;4,42;0,64;3;5;3,58;0,82;2;5;3,79;0,86;2;5;3,50;0,76;2;5;4,42;0,65;3;5;4,36;0,61;3;5;4,38;0,70;3;5;3,91;1,14;1;5;3,86;1,30;1;5;3,79;1,19;1;5;4,24;1,41;1;5;4,64;0,81;2;5;4,00;1,58;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Results With Delay;Excution;4,70;0,46;4;5;4,64;0,48;4;5;4,75;0,43;4;5;1,73;1,02;1;5;1,57;0,90;1;4;1,75;1,05;1;5;4,55;0,74;2;5;4,43;0,82;2;5;4,63;0,63;3;5;4,27;1,08;1;5;3,93;1,39;1;5;4,25;1,16;1;5;3,39;0,95;1;5;3,21;1,08;1;5;3,50;0,87;1;5;4,15;0,93;1;5;4,00;1,13;1;5;4,21;0,96;1;5;3,61;1,10;1;5;3,21;1,32;1;5;3,71;1,02;1;5;3,70;1,55;1;5;3,57;1,55;1;5;3,79;1,53;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Proactive Teacher;Communication;4,55;0,50;4;5;4,50;0,50;4;5;4,58;0,49;4;5;1,70;0,90;1;5;1,57;0,73;1;3;1,71;0,93;1;5;4,03;1,03;1;5;3,64;1,34;1;5;4,33;0,62;3;5;3,85;1,16;1;5;3,50;1,55;1;5;4,04;0,93;1;5;4,30;0,67;3;5;4,21;0,56;3;5;4,29;0,73;3;5;4,03;0,72;3;5;4,00;0,76;3;5;4,04;0,68;3;5;3,52;1,13;1;5;3,21;1,21;1;5;3,67;1,07;1;5;2,91;1,38;1;5;2,71;1,39;1;5;2,88;1,27;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
