id;IUnderstand;IsNew;AppropriateForRemoteAssessment;AppropriateForClassroom;PositiveForStudents;WouldRecommend;Crucial;HaveUsed;IsAntiPattern;Category
1;4;4;4;4;3;3;2;1;1;1
2;2;3;3;3;3;4;3;1;1;1
3;2;5;4;4;3;3;3;1;1;1
4;4;2;4;4;3;4;1;4;1;1
5;4;2;4;4;3;4;3;4;1;1
6;4;2;5;5;4;4;4;2;1;1
7;5;2;4;4;3;4;3;4;1;1
8;4;3;4;4;3;4;3;1;1;1
9;4;3;4;4;3;4;4;4;1;1
10;3;5;3;3;3;3;3;1;1;1
11;4;3;4;4;4;3;3;1;1;1
12;4;2;4;4;4;4;4;4;1;1
13;4;4;4;4;3;4;4;3;1;1
14;3;1;3;3;3;3;3;3;1;1
15;4;5;5;5;3;4;1;1;1;1
16;4;1;5;5;4;4;4;4;1;1
17;5;1;5;5;5;5;5;5;1;1
18;4;4;3;3;4;4;2;1;1;1
19;3;4;3;3;2;3;2;5;1;1
20;2;4;3;3;3;3;3;1;1;1
21;2;4;2;2;2;1;1;1;2;1
22;3;5;5;5;2;3;1;1;1;1
23;5;1;4;4;4;4;4;4;1;1
24;4;2;4;4;4;4;2;4;1;1
25;1;5;3;3;3;3;3;1;1;1
26;1;5;3;3;3;3;3;1;1;1
27;3;4;4;4;4;4;2;1;1;1
28;4;1;4;4;1;4;1;4;1;1
29;4;4;3;3;3;3;3;2;1;1
30;4;2;5;5;5;4;2;1;1;1
31;3;5;2;2;2;1;1;1;1;1
32;4;5;3;3;3;3;3;1;1;1
33;4;4;4;4;5;3;4;1;1;1
