id;IUnderstand;IsNew;AppropriateForRemoteAssessment;AppropriateForClassroom;PositiveForStudents;WouldRecommend;Crucial;HaveUsed;IsAntiPattern;Category
1;5;1;5;5;3;4;3;4;1;2
2;5;1;3;3;4;4;4;4;1;2
3;5;2;5;5;2;5;2;4;1;2
4;4;2;5;5;4;4;2;2;1;2
5;4;3;4;3;3;3;3;1;1;2
6;5;1;5;5;4;4;5;4;1;2
7;5;2;5;5;3;5;4;2;1;2
8;5;1;5;5;4;5;3;1;1;2
9;4;3;4;3;3;3;3;1;1;2
10;5;1;5;5;2;5;3;5;1;2
11;5;1;5;4;4;5;5;4;1;2
12;5;1;5;4;3;5;5;4;1;2
13;5;1;5;5;3;5;5;5;1;2
14;5;1;5;5;4;5;4;5;1;2
15;5;2;5;5;4;5;1;2;1;2
16;4;3;4;3;4;4;3;2;1;3
17;5;1;5;5;5;5;5;5;1;2
18;4;2;5;5;4;4;4;4;1;2
19;4;1;5;4;3;4;4;5;1;2
20;4;2;4;4;4;4;4;5;1;2
21;5;1;2;2;1;4;1;2;1;2
22;5;1;5;5;1;5;5;4;1;2
23;5;1;5;5;4;5;5;5;1;2
24;4;2;5;5;4;4;3;2;1;2
25;4;3;3;3;2;3;3;1;1;2
26;5;1;5;5;5;5;5;4;1;2
27;5;1;5;5;4;4;4;4;1;2
28;5;1;3;3;4;3;1;3;1;2
29;4;4;4;4;3;4;1;1;1;2
30;5;1;5;5;5;5;4;4;1;2
31;5;1;4;4;3;3;3;1;1;2
32;5;5;4;4;3;4;4;3;1;2
33;5;1;5;5;4;5;5;3;1;2
