id;IUnderstand;IsNew;AppropriateForRemoteAssessment;AppropriateForClassroom;PositiveForStudents;WouldRecommend;Crucial;HaveUsed;IsAntiPattern;Category
1;1;5;3;3;3;3;3;1;1;4
2;1;5;3;3;3;3;3;1;1;4
3;4;2;4;4;2;4;4;3;1;4
4;2;3;3;3;3;3;3;2;1;4
5;3;4;3;3;3;3;3;1;1;4
6;4;4;4;4;5;4;4;2;1;4
7;3;2;4;4;3;4;2;4;1;4
8;5;3;5;4;5;4;5;1;1;4
9;4;2;3;3;3;3;3;2;1;4
10;4;2;5;5;5;4;3;2;1;4
11;5;1;5;5;5;5;5;5;1;4
12;5;1;3;4;5;4;3;2;1;4
13;5;2;4;4;4;3;3;3;1;4
14;5;2;4;4;5;4;3;1;1;4
15;4;2;5;5;4;5;3;4;1;4
16;3;3;3;3;2;3;3;1;2;4
17;5;1;5;5;5;5;3;5;1;4
18;4;2;3;3;5;2;2;2;1;4
19;4;1;4;3;4;4;3;5;1;4
20;2;4;3;3;3;3;2;1;1;4
21;5;1;5;5;5;3;1;2;2;4
22;5;4;5;5;4;3;1;1;1;4
23;1;5;1;1;1;1;1;1;1;4
24;4;2;4;4;4;4;2;5;1;4
25;2;4;3;3;3;3;3;1;1;4
26;4;3;4;4;5;3;3;3;1;4
27;2;4;4;4;4;3;3;1;1;4
28;5;1;5;5;5;2;1;2;2;4
29;4;2;3;3;3;3;3;3;1;4
30;5;1;5;4;5;5;3;2;1;4
31;5;1;5;5;3;3;3;1;1;4
32;5;5;3;3;3;3;3;1;1;4
33;5;2;5;4;5;4;3;2;1;4
