id;IUnderstand;IsNew;AppropriateForRemoteAssessment;AppropriateForClassroom;PositiveForStudents;WouldRecommend;Crucial;HaveUsed;IsAntiPattern;Category
1;5;1;1;1;4;2;1;2;2;5
2;1;5;3;3;3;3;3;1;2;5
3;4;2;4;4;4;3;2;4;2;5
4;2;3;2;2;5;1;1;1;2;5
5;4;2;2;2;4;2;2;2;2;5
6;2;3;1;1;4;1;1;1;2;5
7;4;2;2;2;4;2;2;1;2;5
8;5;3;1;1;5;1;1;1;2;5
9;3;3;3;3;1;1;1;1;2;5
10;5;1;5;5;5;3;4;2;2;5
11;5;1;1;1;5;1;2;5;2;5
12;4;1;2;2;5;2;2;2;2;5
13;5;1;1;1;4;1;1;5;2;5
14;5;1;3;3;5;2;3;5;2;5
15;5;1;5;4;5;1;3;3;2;5
16;4;2;2;2;4;2;2;2;2;5
17;5;1;1;1;5;1;1;1;2;5
18;5;1;1;1;5;1;1;1;2;5
19;2;3;3;3;3;2;2;1;2;5
20;4;4;3;3;5;3;3;1;2;5
21;3;3;3;3;3;3;3;1;2;5
22;4;5;5;2;2;1;1;1;2;5
23;1;5;1;1;1;1;1;1;2;5
24;3;4;2;2;4;1;1;2;2;5
25;4;2;3;3;4;3;3;3;2;5
26;4;1;5;4;5;3;4;5;2;5
27;4;2;3;2;4;2;2;2;2;5
28;5;1;1;1;5;1;1;5;2;5
29;4;2;3;3;1;1;1;2;2;5
30;5;1;5;3;5;1;2;4;2;3
31;5;1;1;1;1;1;1;1;2;4
32;5;5;1;1;1;1;1;1;2;5
33;5;1;4;2;5;2;3;5;2;5
