id;IUnderstand;IsNew;AppropriateForRemoteAssessment;AppropriateForClassroom;PositiveForStudents;WouldRecommend;Crucial;HaveUsed;IsAntiPattern;Category
1;4;1;4;4;4;5;3;4;1;2
2;4;2;4;4;3;4;4;3;1;2
3;4;2;5;4;5;3;2;1;1;2
4;4;5;4;4;3;3;1;1;1;2
5;3;4;3;3;3;3;3;1;1;2
6;4;3;5;4;4;3;4;2;1;2
7;4;2;4;4;4;4;3;1;1;2
8;4;3;4;4;4;4;4;1;1;2
9;4;2;4;4;4;4;3;2;1;4
10;5;1;5;5;5;5;4;5;1;2
11;5;3;4;4;4;4;3;2;1;2
12;5;1;5;5;5;5;5;4;1;2
13;5;3;4;4;4;4;4;2;1;2
14;5;1;5;5;5;5;5;4;1;2
15;5;2;4;4;5;4;2;2;1;2
16;3;4;4;4;4;4;3;1;1;2
17;5;1;5;4;5;5;5;5;1;2
18;4;4;5;4;4;4;4;1;1;2
19;4;2;4;4;3;4;3;1;1;2
20;4;4;4;4;4;4;4;2;1;2
21;4;2;5;5;5;4;3;2;1;2
22;4;3;5;5;5;4;3;2;1;2
23;4;2;4;4;5;4;4;1;1;2
24;4;3;4;4;4;4;2;2;1;2
25;4;2;4;2;4;3;3;1;1;2
26;4;3;4;4;5;4;4;2;1;2
27;4;3;4;4;4;4;2;2;1;2
28;5;1;4;1;1;1;1;1;1;2
29;4;3;4;4;4;4;3;2;1;2
30;5;1;5;5;5;5;4;2;1;2
31;5;2;5;5;4;4;4;1;1;2
32;5;5;4;4;3;3;3;1;1;2
33;4;2;5;4;4;5;4;2;1;2
