id;IUnderstand;IsNew;AppropriateForRemoteAssessment;AppropriateForClassroom;PositiveForStudents;WouldRecommend;Crucial;HaveUsed;IsAntiPattern;Category
1;4;1;5;2;4;4;5;4;1;1
2;5;4;5;5;5;5;4;4;1;1
3;4;4;3;4;5;3;1;1;1;1
4;3;5;4;4;3;2;1;1;1;1
5;4;2;4;4;5;4;3;3;1;1
6;4;3;4;2;4;3;3;2;1;1
7;5;3;4;4;4;4;2;1;1;1
8;4;3;5;5;4;4;3;1;1;1
9;3;4;4;2;4;4;3;2;1;1
10;4;2;4;2;5;4;4;1;1;1
11;5;3;4;4;4;3;2;2;1;1
12;4;4;4;4;4;4;3;1;1;1
13;4;3;4;3;5;4;4;3;1;1
14;4;1;5;5;4;4;4;2;1;1
15;5;2;5;2;5;4;5;2;1;1
16;4;4;5;2;4;4;3;2;1;1
17;5;1;5;5;5;5;4;5;1;1
18;2;4;4;4;4;4;2;1;1;1
19;4;2;4;3;3;4;3;1;1;1
20;4;2;4;2;4;3;3;2;1;1
21;4;2;5;5;3;5;5;2;1;5
22;4;5;2;4;4;4;1;1;1;1
23;5;1;5;5;5;5;5;5;1;1
24;4;2;5;4;4;4;2;4;1;1
25;4;3;4;4;4;3;3;2;1;1
26;4;4;5;5;5;3;3;1;1;1
27;3;4;4;3;4;4;2;1;1;1
28;5;1;3;1;1;1;1;2;2;1
29;4;2;5;5;4;4;1;2;1;1
30;5;1;5;5;5;5;3;2;1;1
31;4;3;3;3;3;2;1;1;1;1
32;4;3;3;3;5;4;4;1;1;1
33;4;2;4;4;4;4;2;2;1;1
