id;IUnderstand;IsNew;AppropriateForRemoteAssessment;AppropriateForClassroom;PositiveForStudents;WouldRecommend;Crucial;HaveUsed;IsAntiPattern;Category
1;5;1;4;4;4;5;4;5;1;1
2;4;3;4;4;4;4;4;2;1;1
3;5;2;1;2;4;2;2;5;1;1
4;4;3;4;4;3;3;1;1;1;1
5;4;3;4;2;3;3;3;4;1;1
6;5;1;3;4;5;3;3;1;1;1
7;5;1;4;2;4;4;3;4;1;1
8;5;2;4;5;4;4;3;1;1;1
9;5;2;3;4;3;4;3;5;1;1
10;5;1;4;4;4;4;1;2;1;1
11;5;1;4;2;5;4;4;2;1;1
12;5;1;5;4;5;4;4;3;1;1
13;5;2;4;4;4;4;4;5;1;1
14;5;1;5;5;5;5;5;5;1;1
15;5;1;5;4;4;5;5;2;1;1
16;5;1;4;2;5;4;3;5;1;1
17;5;1;4;5;5;5;5;5;1;1
18;4;1;5;5;2;3;3;1;1;1
19;5;2;5;2;4;5;5;5;1;1
20;4;1;4;2;5;3;2;2;1;1
21;5;1;5;5;4;5;5;5;1;1
22;5;1;4;3;5;5;3;1;1;1
23;5;1;4;3;4;3;1;5;1;1
24;4;2;3;4;4;3;2;2;1;1
25;5;1;4;4;4;4;4;4;1;1
26;4;1;5;4;5;5;3;2;1;1
27;4;2;4;4;3;2;1;2;1;1
28;4;2;3;2;2;2;1;1;1;1
29;4;2;5;2;4;4;3;2;1;1
30;5;1;5;5;5;4;5;2;1;1
31;5;1;5;5;4;5;4;1;1;1
32;5;5;2;5;4;2;1;1;1;1
33;5;2;4;5;5;4;2;2;1;1
