id;IUnderstand;IsNew;AppropriateForRemoteAssessment;AppropriateForClassroom;PositiveForStudents;WouldRecommend;Crucial;HaveUsed;IsAntiPattern;Category
1;5;1;4;4;4;4;4;5;1;3
2;5;1;5;5;4;5;5;5;1;3
3;4;2;4;4;2;4;4;2;1;3
4;5;1;4;4;3;3;1;2;1;3
5;5;1;4;4;3;3;3;1;1;3
6;5;1;5;5;4;5;4;4;1;3
7;4;2;5;4;4;4;4;5;1;3
8;5;1;5;5;4;4;5;1;1;3
9;5;1;4;5;3;4;4;1;1;3
10;5;1;5;5;3;4;3;1;1;3
11;5;1;5;5;4;5;5;5;1;3
12;5;1;5;5;4;3;3;4;1;3
13;5;1;5;5;5;5;5;5;1;3
14;5;1;5;5;4;4;4;5;1;3
15;5;1;5;4;3;5;4;4;1;3
16;4;2;4;4;4;4;4;2;1;3
17;5;1;5;5;4;5;4;5;1;3
18;5;1;2;2;4;4;2;2;1;3
19;4;1;4;4;3;3;4;5;1;3
20;4;1;4;4;4;4;4;5;1;3
21;5;1;5;3;2;4;5;5;1;3
22;5;1;5;5;2;5;1;1;1;3
23;5;1;5;5;4;5;5;2;1;3
24;4;2;4;4;4;4;2;2;1;3
25;5;1;4;4;3;4;3;4;1;3
26;5;1;5;5;4;5;5;2;1;3
27;5;2;4;4;3;3;2;2;1;3
28;5;1;3;3;1;1;1;1;1;3
29;5;1;5;5;5;5;5;5;1;3
30;5;1;5;5;4;5;3;4;1;3
31;5;1;5;5;3;4;5;1;1;3
32;5;5;5;5;3;3;3;2;1;3
33;5;1;5;5;4;5;5;4;1;3
