id;TA;Prof;YearsOfExperience;Courses;AssessmentsOnDistance;RemoteTeaching;RemoteAssessment
1;1;1;18;4;10+;4;4
2;1;0;2;5;10+;5;5
3;1;0;6;3;4-6;4;3
4;0;1;20;10;10+;3;3
5;0;1;20;7;7-9;5;5
6;1;0;9;5;4-6;4;3
7;0;1;30;5;10+;4;4
8;1;0;1;1;0;5;4
9;0;1;34;6;4-6;5;3
10;1;0;12;7;10+;4;4
11;1;0;6;8;4-6;4;4
12;1;1;10;4;7-9;4;4
13;1;0;4;3;4-6;4;4
14;1;0;3;4;10+;5;5
15;1;1;21;6;10+;2;3
16;1;1;18;6;10+;5;4
17;0;1;30;5;10+;4;4
18;0;1;15;6;10+;5;4
19;1;0;3;1;4-6;3;2
20;1;0;5;2;4-6;4;2
21;0;1;20;4;10+;2;3
22;1;0;6;6;10+;4;4
23;0;1;35;4;10+;4;4
24;0;1;4;7;10+;3;3
25;1;0;2;8;10+;5;5
26;1;0;0;8;4-6;5;4
27;1;0;10;5;1-3;4;3
28;1;1;9;7;7-9;5;2
29;1;0;1;6;10+;5;4
30;1;0;7;7;10+;4;4
31;1;0;0;0;0;4;5
32;1;0;4;10;4-6;4;4
33;1;0;1;7;4-6;4;4
