Pattern;Category;Points
Randomized Order;I;10
Mathematical Validator;P;1
Impro League;I;1
Questions Donor;P;2
Continuous Testing;K;5
To-Do List;C;1
Professional Multiplier;P;7
Timebox;I;8
Academic Integrity Appeal;C;1
Results With Delay;I;3
Proactive Teacher;C;3
Colleague Veto;P;5
Safe Exam Browser;O;0
Criteria List;I;4
Appetizer;C;2
Certification Centre;O;0
Big Brother;O;1
Game Rules;C;6
Emergency Call alias 911;C;5
Bonus Points;I;5
Self-Assessment;I;0
Member Channel;C;1
Time Reminder;C;1
Personal Defence;I;10
Example Questions;P;1
Colleague Bloom;K;0
Stepwise Apprach;K;2
24/7 alias Permanent Availability;O;0
Expert Validator;P;3
Hidden Validator;P;1
Eurosong;I;0
Objective Assessor;I;1
Theme Variants;P;8
Identity Guarantee;I;2
Expert-Level;K;2
Full-Time Job;O;0
Open Book;K;6
Student Proxy;C;1
Firewall;C;1
Accessibility Adjustments;I;2
Number Draw;I;1
Dress Rehearsal;P;3
Student Achievement Portfolio;K;2
Statistical validator;P;1
Petathlon;K;14
Third Shift;I;2
Innovator;K;4
