Pattern;Category;Points
Randomized Order;I;31
Mathematical Validator;P;1
Impro League;I;1
Questions Donor;P;6
Continuous Testing;K;18
To-Do List;C;4
Professional Multiplier;P;15
Timebox;I;31
Academic Integrity Appeal;C;5
Results With Delay;I;6
Proactive Teacher;C;5
Colleague Veto;P;14
Safe Exam Browser;O;0
Criteria List;I;11
Appetizer;C;3
Certification Centre;O;0
Big Brother;O;4
Game Rules;C;17
Emergency Call alias 911;C;6
Bonus Points;I;12
Self-Assessment;I;0
Member Channel;C;1
Time Reminder;C;3
Personal Defence;I;34
Example Questions;P;1
Colleague Bloom;K;0
Stepwise Apprach;K;10
24/7 alias Permanent Availability;O;0
Expert Validator;P;12
Hidden Validator;P;4
Eurosong;I;0
Objective Assessor;I;2
Theme Variants;P;22
Identity Guarantee;I;4
Expert-Level;K;7
Full-Time Job;O;0
Open Book;K;25
Student Proxy;C;3
Firewall;C;1
Accessibility Adjustments;I;2
Number Draw;I;3
Dress Rehearsal;P;9
Student Achievement Portfolio;K;6
Statistical validator;P;4
Petathlon;K;61
Third Shift;I;2
Innovator;K;12
