Pattern;Category;Points
Randomized Order;I;4
Mathematical Validator;P;0
Impro League;I;1
Questions Donor;P;1
Continuous Testing;K;3
To-Do List;C;0
Professional Multiplier;P;2
Timebox;I;5
Academic Integrity Appeal;C;0
Results With Delay;I;1
Proactive Teacher;C;1
Colleague Veto;P;1
Safe Exam Browser;O;0
Criteria List;I;1
Appetizer;C;1
Certification Centre;O;0
Big Brother;O;1
Game Rules;C;2
Emergency Call alias 911;C;1
Bonus Points;I;3
Self-Assessment;I;0
Member Channel;C;0
Time Reminder;C;0
Personal Defence;I;2
Example Questions;P;1
Colleague Bloom;K;0
Stepwise Apprach;K;0
24/7 alias Permanent Availability;O;0
Expert Validator;P;1
Hidden Validator;P;1
Eurosong;I;0
Objective Assessor;I;0
Theme Variants;P;5
Identity Guarantee;I;1
Expert-Level;K;1
Full-Time Job;O;0
Open Book;K;5
Student Proxy;C;0
Firewall;C;1
Accessibility Adjustments;I;0
Number Draw;I;1
Dress Rehearsal;P;0
Student Achievement Portfolio;K;1
Statistical validator;P;0
Petathlon;K;6
Third Shift;I;0
Innovator;K;1
