Pattern;Category;Points
Randomized Order;I;6
Mathematical Validator;P;1
Impro League;I;0
Questions Donor;P;1
Continuous Testing;K;2
To-Do List;C;1
Professional Multiplier;P;5
Timebox;I;3
Academic Integrity Appeal;C;1
Results With Delay;I;2
Proactive Teacher;C;2
Colleague Veto;P;4
Safe Exam Browser;O;0
Criteria List;I;3
Appetizer;C;1
Certification Centre;O;0
Big Brother;O;0
Game Rules;C;4
Emergency Call alias 911;C;4
Bonus Points;I;2
Self-Assessment;I;0
Member Channel;C;1
Time Reminder;C;1
Personal Defence;I;8
Example Questions;P;0
Colleague Bloom;K;0
Stepwise Apprach;K;2
24/7 alias Permanent Availability;O;0
Expert Validator;P;2
Hidden Validator;P;0
Eurosong;I;0
Objective Assessor;I;1
Theme Variants;P;3
Identity Guarantee;I;1
Expert-Level;K;1
Full-Time Job;O;0
Open Book;K;1
Student Proxy;C;1
Firewall;C;0
Accessibility Adjustments;I;2
Number Draw;I;0
Dress Rehearsal;P;3
Student Achievement Portfolio;K;1
Statistical validator;P;1
Petathlon;K;8
Third Shift;I;2
Innovator;K;3
